"Timespan","""direct democracy""","""direct democracy"" ""new england""","""direct democracy"" switzerland"
"1850-1859","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1850,cd_max:12/31/1859","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1850,cd_max:12/31/1859","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1850,cd_max:12/31/1859"
"1860-1869","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1860,cd_max:12/31/1869","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1860,cd_max:12/31/1869","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1860,cd_max:12/31/1869"
"1870-1879","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1870,cd_max:12/31/1879","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1870,cd_max:12/31/1879","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1870,cd_max:12/31/1879"
"1880-1889","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1880,cd_max:12/31/1889","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1880,cd_max:12/31/1889","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1880,cd_max:12/31/1889"
"1890-1899","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1890,cd_max:12/31/1899","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1890,cd_max:12/31/1899","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1890,cd_max:12/31/1899"
"1900-1909","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1900,cd_max:12/31/1909","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1900,cd_max:12/31/1909","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1900,cd_max:12/31/1909"
"1910-1919","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1910,cd_max:12/31/1919","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1910,cd_max:12/31/1919","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1910,cd_max:12/31/1919"
"1920-1929","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1920,cd_max:12/31/1929","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1920,cd_max:12/31/1929","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1920,cd_max:12/31/1929"
"1930-1939","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1930,cd_max:12/31/1939","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1930,cd_max:12/31/1939","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1930,cd_max:12/31/1939"
"1940-1949","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1940,cd_max:12/31/1949","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1940,cd_max:12/31/1949","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1940,cd_max:12/31/1949"
"1950-1959","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1950,cd_max:12/31/1959","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1950,cd_max:12/31/1959","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1950,cd_max:12/31/1959"
"1960-1969","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1960,cd_max:12/31/1969","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1960,cd_max:12/31/1969","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1960,cd_max:12/31/1969"
"1970-1979","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1970,cd_max:12/31/1979","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1970,cd_max:12/31/1979","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1970,cd_max:12/31/1979"
"1980-1989","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1980,cd_max:12/31/1989","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1980,cd_max:12/31/1989","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1980,cd_max:12/31/1989"
"1990-1999","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1990,cd_max:12/31/1999","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1990,cd_max:12/31/1999","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/1990,cd_max:12/31/1999"
"2000-2009","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/2000,cd_max:12/31/2009","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20%22new%20england%22&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/2000,cd_max:12/31/2009","http://www.google.com/search?hl=en&newwindow=1&q=%22direct%20democracy%22%20switzerland&safe=off&tbm=bks&tbs=bkt:b%2Ccdr:1,cd_min:1/1/2000,cd_max:12/31/2009"
